iter	Passed	Remaining
0	0	81
1	1	80
2	2	79
3	3	77
4	3	75
5	4	75
6	5	73
7	6	72
8	7	72
9	8	74
10	10	82
11	11	83
12	12	82
13	13	81
14	13	79
15	15	78
16	15	77
17	17	77
18	17	76
19	18	74
20	19	72
21	20	71
22	21	72
23	23	73
24	24	72
25	24	71
26	26	70
27	27	70
28	28	69
29	29	68
30	30	67
31	31	66
32	32	66
33	33	65
34	34	64
35	35	63
36	37	64
37	39	64
38	40	63
39	42	63
40	43	62
41	45	62
42	46	61
43	48	61
44	49	60
45	51	60
46	53	60
47	54	59
48	56	58
49	57	57
50	59	56
51	60	55
52	61	54
53	62	53
54	64	52
55	65	51
56	66	50
57	68	49
58	69	48
59	71	47
60	72	46
61	74	45
62	75	44
63	76	43
64	78	42
65	80	41
66	81	40
67	82	39
68	84	37
69	85	36
70	87	35
71	88	34
72	89	33
73	91	32
74	92	30
75	93	29
76	95	28
77	97	27
78	98	26
79	99	24
80	101	23
81	102	22
82	104	21
83	105	20
84	107	18
85	109	17
86	111	16
87	112	15
88	113	14
89	115	12
90	116	11
91	118	10
92	119	9
93	120	7
94	122	6
95	123	5
96	124	3
97	126	2
98	128	1
99	130	0
